created_at,entry_id,field1,field2,field3
2018-10-28 08:44:24 UTC,130,0.22,4.89,7179.19
2018-10-28 08:45:25 UTC,131,0.22,4.89,8832.11
2018-10-28 08:46:26 UTC,132,0.22,4.89,9823.62
2018-10-28 08:47:26 UTC,133,0.22,4.89,6971.39
2018-10-28 08:48:27 UTC,134,0.23,4.64,9240.45
2018-10-28 08:49:28 UTC,135,0.22,4.89,9604.36
2018-10-28 08:50:29 UTC,136,0.22,4.89,10102.97
2018-10-28 08:52:32 UTC,137,0.22,4.64,8530.68
2018-10-28 08:53:33 UTC,138,0.22,4.89,10714.40
2018-10-28 08:54:34 UTC,139,0.22,5.15,16971.56
2018-10-28 08:55:35 UTC,140,0.21,5.41,8985.55
2018-10-28 08:56:36 UTC,141,0.20,5.41,9003.65
2018-10-28 08:57:37 UTC,142,0.19,5.67,6204.44
2018-10-28 08:58:38 UTC,143,0.18,5.94,7809.02
2018-10-28 08:59:39 UTC,144,0.18,5.94,7599.13
2018-10-28 09:00:40 UTC,145,0.18,5.94,7495.63
2018-10-28 09:01:41 UTC,146,0.18,5.67,7473.79
2018-10-28 09:02:42 UTC,147,0.17,5.94,8659.24
2018-10-28 09:03:43 UTC,148,0.17,5.94,7703.51
2018-10-28 09:04:43 UTC,149,0.17,6.21,6714.96
2018-10-28 09:05:45 UTC,150,0.17,6.21,6731.28
2018-10-28 09:06:45 UTC,151,0.17,6.21,5594.39
2018-10-28 09:07:46 UTC,152,0.17,5.94,7030.36
2018-10-28 09:08:47 UTC,153,0.17,5.94,6499.09
2018-10-28 09:09:48 UTC,154,0.17,5.94,6970.85
2018-10-28 09:10:49 UTC,155,0.17,6.21,7183.81
2018-10-28 09:11:50 UTC,156,0.17,6.21,6430.88
2018-10-28 09:12:51 UTC,157,0.18,5.94,8157.23
2018-10-28 09:13:52 UTC,158,0.17,6.21,5378.46
2018-10-28 09:14:53 UTC,159,0.17,5.94,9279.39
2018-10-28 09:15:55 UTC,160,0.19,5.15,7965.36
2018-10-28 09:16:56 UTC,161,0.17,5.94,6915.25
2018-10-28 09:17:57 UTC,162,0.17,6.21,7223.38
2018-10-28 09:18:58 UTC,163,0.19,5.15,8359.30
2018-10-28 09:19:59 UTC,164,0.17,6.21,8840.49
2018-10-28 09:21:01 UTC,165,0.17,6.21,8337.20
